id,source,city,district,rooms,area_m2,floor,total_floors,price_tenge,price_per_m2,price_segment,seller_type,listing_date,title,address,url,listing_id
1,krisha,Астана,Сарыарка р-н,1.0,40.0,14.0,14.0,180000,4500.0,middle,unknown,2026-03-20,1-комнатная квартира · 40 м² · 14/14 этаж,"Сарыарка р-н, Сарыарка",https://krisha.kz/a/show/1010184849,1010184849
2,krisha,Астана,Алматы р-н,1.0,33.0,9.0,9.0,165000,5000.0,middle,agency,2026-03-19,1-комнатная квартира · 33 м² · 9/9 этаж,"Алматы р-н, Пр. Жумабаева 1",https://krisha.kz/a/show/1010109779,1010109779
3,krisha,Астана,Алматы р-н,1.0,30.0,7.0,9.0,170000,5666.7,middle,owner,2026-03-20,1-комнатная квартира · 30 м² · 7/9 этаж,"Алматы р-н, Майлина — Жұмабаева-майлина",https://krisha.kz/a/show/1008597520,1008597520
4,krisha,Астана,Алматы р-н,2.0,57.0,14.0,22.0,270000,4736.8,high,owner,2026-03-20,2-комнатная квартира · 57 м² · 14/22 этаж,"Алматы р-н, Нажимеденова 10/4 — С видом на президентский парк (пирамиду) и Национальный музей",https://krisha.kz/a/show/1004054783,1004054783
5,krisha,Астана,Алматы р-н,1.0,42.0,6.0,23.0,180000,4285.7,middle,owner,2026-03-20,1-комнатная квартира · 42 м² · 6/23 этаж,"Алматы р-н, Байтурсынова — Байтурсынова",https://krisha.kz/a/show/1010229288,1010229288
6,krisha,Астана,Есильский р-н,2.0,62.2,2.0,12.0,280000,4501.6,high,owner,2026-03-19,2-комнатная квартира · 62.2 м² · 2/12 этаж,"Есильский р-н, E-753 улица 3",https://krisha.kz/a/show/674823283,674823283
7,krisha,Астана,Есильский р-н,2.0,62.0,4.0,9.0,240000,3871.0,middle,owner,2026-03-19,2-комнатная квартира · 62 м² · 4/9 этаж,"Есильский р-н, Улы Дала 46",https://krisha.kz/a/show/1010591436,1010591436
8,krisha,Астана,Сарыарка р-н,1.0,43.0,9.0,9.0,250000,5814.0,high,owner,2026-03-19,1-комнатная квартира · 43 м² · 9/9 этаж,"Сарыарка р-н, Ш.Косшыгулулы 3/2",https://krisha.kz/a/show/1010107674,1010107674
9,krisha,Астана,Есильский р-н,3.0,78.0,3.0,9.0,380000,4871.8,high,owner,2026-03-19,3-комнатная квартира · 78 м² · 3/9 этаж,"Есильский р-н, Туран 43 — Сыганак",https://krisha.kz/a/show/699413356,699413356
10,krisha,Астана,Есильский р-н,1.0,40.0,24.0,36.0,240000,6000.0,middle,agency,2026-03-19,1-комнатная квартира · 40 м² · 24/36 этаж,"Есильский р-н, Достык 5 — ТРЦ Керуен",https://krisha.kz/a/show/1009431419,1009431419
11,krisha,Астана,Есильский р-н,1.0,38.0,2.0,9.0,190000,5000.0,middle,owner,2026-03-19,1-комнатная квартира · 38 м² · 2/9 этаж,"Есильский р-н, Жошы хана 27",https://krisha.kz/a/show/1010591203,1010591203
12,krisha,Астана,Есильский р-н,2.0,65.0,,,260000,4000.0,high,owner,2026-03-19,2-комнатная квартира · 65 м²,"Есильский р-н, Кайым Мухамедханов 4в",https://krisha.kz/a/show/1010268169,1010268169
13,krisha,Астана,Аль-Фараби,1.0,47.0,6.0,7.0,200000,4255.3,middle,owner,2026-03-19,1-комнатная квартира · 47 м² · 6/7 этаж,Аль-Фараби,https://krisha.kz/a/show/1010455099,1010455099
14,krisha,Астана,Нура р-н,1.0,20.0,2.0,2.0,170000,8500.0,middle,owner,2026-03-19,1-комнатная квартира · 20 м² · 2/2 этаж,"Нура р-н, Манкент 7 — Возле keruen city",https://krisha.kz/a/show/1010276718,1010276718
15,krisha,Астана,Нура р-н,1.0,40.0,,,250000,6250.0,high,agency,2026-03-19,1-комнатная квартира · 40 м² · 5 этаж,"Нура р-н, Толе би 24",https://krisha.kz/a/show/1010557467,1010557467
16,krisha,Астана,Сарыарка р-н,1.0,25.0,3.0,4.0,135000,5400.0,middle,owner,2026-03-19,1-комнатная квартира · 25 м² · 3/4 этаж,"Сарыарка р-н, Василия Радлова 26/1 — Акан Серы, ТД Рахмет",https://krisha.kz/a/show/687636331,687636331
17,krisha,Астана,Нура р-н,2.0,48.0,18.0,20.0,250000,5208.3,high,owner,2026-03-19,2-комнатная квартира · 48 м² · 18/20 этаж,"Нура р-н, Бектурова 4/1",https://krisha.kz/a/show/1010591006,1010591006
18,krisha,Астана,Есильский р-н,1.0,40.0,3.0,15.0,200000,5000.0,middle,owner,2026-03-19,1-комнатная квартира · 40 м² · 3/15 этаж,"Есильский р-н, Кабанбай батыра 46а",https://krisha.kz/a/show/1009617665,1009617665
19,krisha,Астана,Есильский р-н,2.0,65.0,12.0,15.0,300000,4615.4,high,owner,2026-03-19,2-комнатная квартира · 65 м² · 12/15 этаж,"Есильский р-н, Сарайшык 5 — Акмешит",https://krisha.kz/a/show/695614476,695614476
20,krisha,Астана,Есильский р-н,1.0,34.0,9.0,9.0,180000,5294.1,middle,owner,2026-03-19,1-комнатная квартира · 34 м² · 9/9 этаж,"Есильский р-н, Аль-Фараби 46/36",https://krisha.kz/a/show/1010486398,1010486398
21,krisha,Астана,Есильский р-н,3.0,70.0,5.0,9.0,350000,5000.0,high,owner,2026-03-19,3-комнатная квартира · 70 м² · 5/9 этаж,"Есильский р-н, Е652 22 — Кабанбай Батыра пересечение Мангилик-Ел",https://krisha.kz/a/show/1010333960,1010333960
22,krisha,Астана,Есильский р-н,1.0,47.0,,,200000,4255.3,middle,owner,2026-03-19,1-комнатная квартира · 47 м²,"Есильский р-н, Сарайшык — Сарайшык-Акмешит",https://krisha.kz/a/show/1007976904,1007976904
23,krisha,Астана,Нура р-н,2.0,50.0,4.0,12.0,240000,4800.0,middle,owner,2026-03-19,2-комнатная квартира · 50 м² · 4/12 этаж,"Нура р-н, Толе би 25/1",https://krisha.kz/a/show/1010463405,1010463405
24,krisha,Астана,Нура р-н,1.0,35.0,9.0,9.0,180000,5142.9,middle,owner,2026-03-19,1-комнатная квартира · 35 м² · 9/9 этаж,"Нура р-н, Азильхана Нуршайыкова 10блок1",https://krisha.kz/a/show/1010590750,1010590750
25,krisha,Астана,Нура р-н,1.0,39.0,9.0,12.0,220000,5641.0,middle,owner,2026-03-19,1-комнатная квартира · 39 м² · 9/12 этаж,"Нура р-н, Турана 55/7",https://krisha.kz/a/show/1000539878,1000539878
26,krisha,Астана,Есильский р-н,2.0,56.0,,,345000,6160.7,high,owner,2026-03-19,2-комнатная квартира · 56 м²,"Есильский р-н, Туркестан 16",https://krisha.kz/a/show/1008363974,1008363974
27,krisha,Астана,Тауелсиздик 56 — Шамши Калдаякова,1.0,39.0,10.0,12.0,300000,7692.3,high,owner,2026-03-19,1-комнатная квартира · 39 м² · 10/12 этаж,Тауелсиздик 56 — Шамши Калдаякова,https://krisha.kz/a/show/690290010,690290010
28,krisha,Астана,Есильский р-н,2.0,51.0,6.0,20.0,250000,4902.0,high,owner,2026-03-19,2-комнатная квартира · 51 м² · 6/20 этаж,"Есильский р-н, Мангилик Ел 62",https://krisha.kz/a/show/1008315673,1008315673
29,krisha,Астана,Сарайшык р-н,1.0,44.2,15.0,17.0,180000,4072.4,middle,owner,2026-03-19,1-комнатная квартира · 44.2 м² · 15/17 этаж,"Сарайшык р-н, Шәмші Қалдаяқова 58/1",https://krisha.kz/a/show/1005547347,1005547347
30,krisha,Астана,Алматы р-н,2.0,58.0,16.0,21.0,220000,3793.1,middle,owner,2026-03-19,2-комнатная квартира · 58 м² · 16/21 этаж,"Алматы р-н, Нажимеденова 10/3 — Тауелсыздык",https://krisha.kz/a/show/1010224621,1010224621
31,krisha,Астана,Есильский р-н,1.0,39.0,11.0,12.0,220000,5641.0,middle,owner,2026-03-19,1-комнатная квартира · 39 м² · 11/12 этаж,"Есильский р-н, Толе би 3/1 — Казыбек Би",https://krisha.kz/a/show/694953967,694953967
32,krisha,Астана,Нура р-н,1.0,25.0,1.0,1.0,165000,6600.0,middle,owner,2026-03-19,1-комнатная квартира · 25 м² · 1/1 этаж,"Нура р-н, Манкент 7",https://krisha.kz/a/show/1001560459,1001560459
33,krisha,Астана,Есильский р-н,1.0,44.0,3.0,17.0,280000,6363.6,high,owner,2026-03-19,1-комнатная квартира · 44 м² · 3/17 этаж,"Есильский р-н, Туран 52/2, 52/3 — Туран Бухар жырау",https://krisha.kz/a/show/1010496987,1010496987
34,krisha,Астана,Алматы р-н,2.0,70.0,5.0,10.0,300000,4285.7,high,owner,2026-03-19,2-комнатная квартира · 70 м² · 5/10 этаж,"Алматы р-н, Тауелсыздык 33/1",https://krisha.kz/a/show/1010253896,1010253896
35,krisha,Астана,Есильский р-н,1.0,36.0,7.0,9.0,220000,6111.1,middle,owner,2026-03-19,1-комнатная квартира · 36 м² · 7/9 этаж,"Есильский р-н, Е-22 2 — E-51",https://krisha.kz/a/show/673331226,673331226
36,krisha,Астана,Нура р-н,2.0,47.0,8.0,9.0,250000,5319.1,high,owner,2026-03-19,2-комнатная квартира · 47 м² · 8/9 этаж,"Нура р-н, Жубан Молдагалиев 5",https://krisha.kz/a/show/1001375850,1001375850
37,krisha,Астана,Сарайшык р-н,2.0,45.0,16.0,16.0,300000,6666.7,high,owner,2026-03-19,2-комнатная квартира · 45 м² · 16/16 этаж,"Сарайшык р-н, Райымбек батыр 2",https://krisha.kz/a/show/1009073917,1009073917
38,krisha,Астана,Сарыарка р-н,1.0,20.0,2.0,2.0,120000,6000.0,middle,owner,2026-03-19,1-комнатная квартира · 20 м² · 2/2 этаж,"Сарыарка р-н, Переулок Петрова 6",https://krisha.kz/a/show/1000469294,1000469294
39,krisha,Астана,Есильский р-н,2.0,65.0,6.0,15.0,250000,3846.2,high,unknown,2026-03-19,2-комнатная квартира · 65 м² · 6/15 этаж,"Есильский р-н, Сауран 15/4",https://krisha.kz/a/show/51903969,51903969
40,krisha,Астана,Сарыарка р-н,2.0,44.0,4.0,5.0,220000,5000.0,middle,owner,2026-03-19,2-комнатная квартира · 44 м² · 4/5 этаж,"Сарыарка р-н, Женис 77",https://krisha.kz/a/show/1010589575,1010589575
41,krisha,Астана,Нура р-н,2.0,60.0,1.0,10.0,300000,5000.0,high,owner,2026-03-19,2-комнатная квартира · 60 м² · 1/10 этаж,"Нура р-н, Казыбек би 3, 3/1, 3/2 — Сыганак пересечение толе би",https://krisha.kz/a/show/1010228421,1010228421
42,krisha,Астана,Нура р-н,2.0,56.0,3.0,16.0,270000,4821.4,high,owner,2026-03-19,2-комнатная квартира · 56 м² · 3/16 этаж,"Нура р-н, Мухамедханова 4в",https://krisha.kz/a/show/1010063347,1010063347
43,krisha,Астана,Есильский р-н,1.0,45.0,,,200000,4444.4,middle,owner,2026-03-19,1-комнатная квартира · 45 м²,"Есильский р-н, Кабанбай батыра — Кабанбай батыра -Керей Жанибек хандар",https://krisha.kz/a/show/1009641826,1009641826
44,krisha,Астана,Нура р-н,3.0,95.0,6.0,14.0,450000,4736.8,high,owner,2026-03-19,3-комнатная квартира · 95 м² · 6/14 этаж,"Нура р-н, Кабанбай батыра 9/4",https://krisha.kz/a/show/693832277,693832277
45,krisha,Астана,Нура р-н,1.0,38.0,12.0,20.0,250000,6578.9,high,owner,2026-03-19,1-комнатная квартира · 38 м² · 12/20 этаж,"Нура р-н, Туран 55/12",https://krisha.kz/a/show/1005334252,1005334252
46,krisha,Астана,Сарыарка р-н,1.0,34.0,2.0,12.0,200000,5882.4,middle,owner,2026-03-19,1-комнатная квартира · 34 м² · 2/12 этаж,"Сарыарка р-н, Чингиза Айтматова 77",https://krisha.kz/a/show/1009582328,1009582328
47,krisha,Астана,Есильский р-н,2.0,68.0,8.0,12.0,300000,4411.8,high,owner,2026-03-19,2-комнатная квартира · 68 м² · 8/12 этаж,"Есильский р-н, Бокейхана",https://krisha.kz/a/show/1009935394,1009935394
48,krisha,Астана,Есильский р-н,2.0,44.0,,,350000,7954.5,high,owner,2026-03-19,2-комнатная квартира · 44 м²,"Есильский р-н, Сыганак 52",https://krisha.kz/a/show/1006588720,1006588720
49,krisha,Астана,Сарыарка р-н,2.0,65.5,2.0,9.0,290000,4427.5,high,owner,2026-03-19,2-комнатная квартира · 65.5 м² · 2/9 этаж,"Сарыарка р-н, Кумисбекова 9/1 — Кумисбекова - Сейфуллина",https://krisha.kz/a/show/1009638374,1009638374
50,krisha,Астана,Нура р-н,1.0,40.0,5.0,7.0,180000,4500.0,middle,owner,2026-03-19,1-комнатная квартира · 40 м² · 5/7 этаж,"Нура р-н, Чингиз Айтматов 29а — Сыганак/Айтматова",https://krisha.kz/a/show/1010044574,1010044574
51,krisha,Астана,Алматы р-н,1.0,22.0,2.0,5.0,120000,5454.5,middle,agency,2026-03-19,1-комнатная квартира · 22 м² · 2/5 этаж,"Алматы р-н, Манаса 20/1 — Абылайхана",https://krisha.kz/a/show/1002486931,1002486931
52,krisha,Астана,Сарыарка р-н,2.0,45.0,5.0,5.0,230000,5111.1,middle,owner,2026-03-19,2-комнатная квартира · 45 м² · 5/5 этаж,"Сарыарка р-н, Жеңіс 20",https://krisha.kz/a/show/698958179,698958179
53,krisha,Астана,Есильский р-н,1.0,45.0,9.0,10.0,180000,4000.0,middle,owner,2026-03-19,1-комнатная квартира · 45 м² · 9/10 этаж,"Есильский р-н, Улы дала мост Набережка Е-810 ул 2/21 — Нажимеденова",https://krisha.kz/a/show/699779117,699779117
54,krisha,Астана,Есильский р-н,1.0,40.0,6.0,9.0,230000,5750.0,middle,owner,2026-03-19,1-комнатная квартира · 40 м² · 6/9 этаж,"Есильский р-н, Ильяса Омарова",https://krisha.kz/a/show/692204954,692204954
55,krisha,Астана,Есильский р-н,1.0,38.0,2.0,9.0,200000,5263.2,middle,owner,2026-03-19,1-комнатная квартира · 38 м² · 2/9 этаж,"Есильский р-н, Туран 42 — Магнум",https://krisha.kz/a/show/1007584699,1007584699
56,krisha,Астана,Есильский р-н,1.0,42.5,6.0,9.0,265000,6235.3,high,owner,2026-03-19,1-комнатная квартира · 42.5 м² · 6/9 этаж,"Есильский р-н, Сызганова 1/1",https://krisha.kz/a/show/1009160973,1009160973
57,krisha,Астана,Нура р-н,2.0,63.0,13.0,22.0,240000,3809.5,middle,owner,2026-03-19,2-комнатная квартира · 63 м² · 13/22 этаж,"Нура р-н, Ш. Айтматова 53 — Шоссе Коргалжын",https://krisha.kz/a/show/1010588528,1010588528
58,krisha,Астана,Нура р-н,2.0,44.0,7.0,9.0,280000,6363.6,high,owner,2026-03-19,2-комнатная квартира · 44 м² · 7/9 этаж,"Нура р-н, Туран 57/7",https://krisha.kz/a/show/1010421658,1010421658
59,krisha,Астана,Есильский р-н,2.0,44.0,12.0,14.0,250000,5681.8,high,owner,2026-03-19,2-комнатная квартира · 44 м² · 12/14 этаж,"Есильский р-н, Бокейхана",https://krisha.kz/a/show/1010338726,1010338726
60,krisha,Астана,Есильский р-н,1.0,42.0,,,200000,4761.9,middle,owner,2026-03-19,1-комнатная квартира · 42 м² · 10 этаж,"Есильский р-н, Бектурова 1/2",https://krisha.kz/a/show/1009668984,1009668984
61,krisha,Астана,Алматы р-н,1.0,43.5,8.0,12.0,170000,3908.0,middle,owner,2026-03-19,1-комнатная квартира · 43.5 м² · 8/12 этаж,"Алматы р-н, Кошкарбаева — Жумабаева",https://krisha.kz/a/show/1008017183,1008017183
62,krisha,Астана,Нура р-н,2.0,45.6,3.0,11.0,250000,5482.5,high,owner,2026-03-19,2-комнатная квартира · 45.6 м² · 3/11 этаж,"Нура р-н, Коргалжын 37",https://krisha.kz/a/show/1010021328,1010021328
63,krisha,Астана,Алматы р-н,1.0,33.0,2.0,5.0,180000,5454.5,middle,owner,2026-03-19,1-комнатная квартира · 33 м² · 2/5 этаж,"Алматы р-н, Жумабаева 5/1 — 22 школа",https://krisha.kz/a/show/1008046006,1008046006
64,krisha,Астана,Нура р-н,2.0,48.0,,,250000,5208.3,high,owner,2026-03-19,2-комнатная квартира · 48 м² · 6 этаж,"Нура р-н, Толе би 25/1",https://krisha.kz/a/show/1009639286,1009639286
65,krisha,Астана,Есильский р-н,3.0,88.0,5.0,7.0,350000,3977.3,high,owner,2026-03-19,3-комнатная квартира · 88 м² · 5/7 этаж,"Есильский р-н, Мәңгілік Ел 48 — Улы Дала",https://krisha.kz/a/show/1008489750,1008489750
66,krisha,Астана,Сарыарка р-н,1.0,33.0,2.0,16.0,165000,5000.0,middle,owner,2026-03-19,1-комнатная квартира · 33 м² · 2/16 этаж,"Сарыарка р-н, Н. Тлендиева 52",https://krisha.kz/a/show/1009574130,1009574130
67,krisha,Астана,Есильский р-н,3.0,80.0,5.0,12.0,420000,5250.0,high,owner,2026-03-19,3-комнатная квартира · 80 м² · 5/12 этаж,"Есильский р-н, Туран — Пересечение улицы Туран и Бухар жырау",https://krisha.kz/a/show/1010525823,1010525823
68,krisha,Астана,Алматы р-н,2.0,46.0,4.0,5.0,250000,5434.8,high,owner,2026-03-19,2-комнатная квартира · 46 м² · 4/5 этаж,"Алматы р-н, Майлина 3 — Тауелсыздык/ Астана Молл",https://krisha.kz/a/show/1010039861,1010039861
69,krisha,Астана,Нура р-н,1.0,39.0,8.0,12.0,180000,4615.4,middle,agency,2026-03-19,1-комнатная квартира · 39 м² · 8/12 этаж,"Нура р-н, Казыбек би 35",https://krisha.kz/a/show/760892093,760892093
70,krisha,Астана,Абая 101 — Циолковского,1.0,30.0,2.0,5.0,200000,6666.7,middle,owner,2026-03-19,1-комнатная квартира · 30 м² · 2/5 этаж,Абая 101 — Циолковского,https://krisha.kz/a/show/1009128495,1009128495
71,krisha,Астана,Нура р-н,1.0,38.0,9.0,10.0,220000,5789.5,middle,owner,2026-03-19,1-комнатная квартира · 38 м² · 9/10 этаж,"Нура р-н, Толе би 51",https://krisha.kz/a/show/1004962138,1004962138
72,krisha,Астана,Сарайшык р-н,2.0,47.0,3.0,12.0,280000,5957.4,high,owner,2026-03-19,2-комнатная квартира · 47 м² · 3/12 этаж,"Сарайшык р-н, Райымбек батыр 2 — Тауелсіздік",https://krisha.kz/a/show/1010493679,1010493679
73,krisha,Астана,Алматы р-н,2.0,80.0,8.0,23.0,320000,4000.0,high,owner,2026-03-19,2-комнатная квартира · 80 м² · 8/23 этаж,"Алматы р-н, Кошкарбаева 32/1",https://krisha.kz/a/show/1000673856,1000673856
74,krisha,Астана,Есильский р-н,1.0,34.0,9.0,9.0,200000,5882.4,middle,owner,2026-03-19,1-комнатная квартира · 34 м² · 9/9 этаж,"Есильский р-н, Улы Дала 46",https://krisha.kz/a/show/1010587587,1010587587
75,krisha,Астана,Нура р-н,2.0,37.0,2.0,3.0,180000,4864.9,middle,owner,2026-03-19,2-комнатная квартира · 37 м² · 2/3 этаж,"Нура р-н, мкр Уркер, Мкр Уркер, ул. Нуркена Абдирова 54 — Достоевского",https://krisha.kz/a/show/1010447583,1010447583
76,krisha,Астана,Есильский р-н,1.0,33.0,7.0,9.0,200000,6060.6,middle,owner,2026-03-19,1-комнатная квартира · 33 м² · 7/9 этаж,"Есильский р-н, E-669 13",https://krisha.kz/a/show/1010587453,1010587453
77,krisha,Астана,Есильский р-н,1.0,40.5,10.0,17.0,220000,5432.1,middle,owner,2026-03-19,1-комнатная квартира · 40.5 м² · 10/17 этаж,"Есильский р-н, Әнет баба 7 — За Хан-Шатыром.",https://krisha.kz/a/show/679439710,679439710
78,krisha,Астана,Сарайшык р-н,1.0,40.0,10.0,18.0,180000,4500.0,middle,agency,2026-03-19,1-комнатная квартира · 40 м² · 10/18 этаж,"Сарайшык р-н, Шамши Калдаяков 58/2 — Нурлы Жол Вокзал",https://krisha.kz/a/show/1007812886,1007812886
79,krisha,Астана,Есильский р-н,2.0,50.0,8.0,16.0,260000,5200.0,high,owner,2026-03-19,2-комнатная квартира · 50 м² · 8/16 этаж,"Есильский р-н, Алиева 4 — Бухар жырау",https://krisha.kz/a/show/760632169,760632169
80,krisha,Астана,Нура р-н,1.0,40.0,,,190000,4750.0,middle,owner,2026-03-19,1-комнатная квартира · 40 м²,"Нура р-н, Жубан Молдагалиев 10",https://krisha.kz/a/show/1010074214,1010074214
81,krisha,Астана,Сарыарка р-н,1.0,36.0,3.0,9.0,200000,5555.6,middle,owner,2026-03-19,1-комнатная квартира · 36 м² · 3/9 этаж,"Сарыарка р-н, Кумисбекова — Кенесары",https://krisha.kz/a/show/1010312130,1010312130
82,krisha,Астана,Нура р-н,3.0,60.0,1.0,3.0,180000,3000.0,middle,owner,2026-03-19,3-комнатная квартира · 60 м² · 1/3 этаж,"Нура р-н, мкр Уркер, ул. Нуркена Абдирова 54 — Достоевского",https://krisha.kz/a/show/1007574338,1007574338
83,krisha,Астана,Алматы р-н,3.0,76.0,,,200000,2631.6,middle,agency,2026-03-19,3-комнатная квартира · 76 м²,"Алматы р-н, Шамши Калдаяков 61",https://krisha.kz/a/show/1010154776,1010154776
84,krisha,Астана,Есильский р-н,2.0,46.0,3.0,9.0,300000,6521.7,high,owner,2026-03-19,2-комнатная квартира · 46 м² · 3/9 этаж,"Есильский р-н, Туран 55/6 — Т4",https://krisha.kz/a/show/692240409,692240409
85,krisha,Астана,Есильский р-н,1.0,40.0,9.0,9.0,220000,5500.0,middle,owner,2026-03-19,1-комнатная квартира · 40 м² · 9/9 этаж,"Есильский р-н, мкр Пригородный, Т.Рыскулова 16/4 Мод конфорт 3 — Хусейн бен Талал",https://krisha.kz/a/show/1007592908,1007592908
86,krisha,Астана,Есильский р-н,1.0,48.0,9.0,18.0,250000,5208.3,high,owner,2026-03-19,1-комнатная квартира · 48 м² · 9/18 этаж,"Есильский р-н, Мәңгілік Ел 53 — Улы Дала",https://krisha.kz/a/show/1004561880,1004561880
87,krisha,Астана,Есильский р-н,1.0,30.0,2.0,9.0,190000,6333.3,middle,owner,2026-03-19,1-комнатная квартира · 30 м² · 2/9 этаж,"Есильский р-н, Аль-Фараби 30 — Улы Дала",https://krisha.kz/a/show/1002167412,1002167412
88,krisha,Астана,Сарыарка р-н,1.0,35.0,4.0,12.0,200000,5714.3,middle,owner,2026-03-19,1-комнатная квартира · 35 м² · 4/12 этаж,"Сарыарка р-н, Чингиза Айтматова 77/8",https://krisha.kz/a/show/1005608725,1005608725
89,krisha,Астана,Сарыарка р-н,1.0,28.0,6.0,6.0,130000,4642.9,middle,owner,2026-03-19,1-комнатная квартира · 28 м² · 6/6 этаж,"Сарыарка р-н, Тлендиева 50/2 — На против магнума",https://krisha.kz/a/show/1010569433,1010569433
90,krisha,Астана,Есильский р-н,1.0,45.0,7.0,9.0,200000,4444.4,middle,owner,2026-03-19,1-комнатная квартира · 45 м² · 7/9 этаж,"Есильский р-н, Бокейхана 16/1",https://krisha.kz/a/show/1010586387,1010586387
91,krisha,Астана,Нура р-н,2.0,70.0,,,250000,3571.4,high,agency,2026-03-19,2-комнатная квартира · 70 м² · 5 этаж,"Нура р-н, Сыганак 14, 16, 18,  8, 10, 12, 2, 2/1, 11, 15",https://krisha.kz/a/show/1009284448,1009284448
92,krisha,Астана,Есильский р-н,2.0,61.0,3.0,6.0,300000,4918.0,high,owner,2026-03-19,2-комнатная квартира · 61 м² · 3/6 этаж,"Есильский р-н, Кабанбай Батыра 58Б — Возле меги",https://krisha.kz/a/show/696398705,696398705
93,krisha,Астана,Есильский р-н,2.0,48.0,9.0,16.0,300000,6250.0,high,owner,2026-03-19,2-комнатная квартира · 48 м² · 9/16 этаж,"Есильский р-н, Әнет баба 9/1",https://krisha.kz/a/show/698992425,698992425
94,krisha,Астана,Алматы р-н,1.0,41.0,11.0,24.0,200000,4878.0,middle,owner,2026-03-19,1-комнатная квартира · 41 м² · 11/24 этаж,"Алматы р-н, Калибек Куанышбаев, 11/3",https://krisha.kz/a/show/1010492730,1010492730
95,krisha,Астана,Есильский р-н,1.0,42.0,11.0,12.0,190000,4523.8,middle,owner,2026-03-19,1-комнатная квартира · 42 м² · 11/12 этаж,"Есильский р-н, Абикен Бектуров 3/3",https://krisha.kz/a/show/1010492610,1010492610
96,krisha,Астана,Есильский р-н,2.0,50.0,10.0,17.0,300000,6000.0,high,agency,2026-03-19,2-комнатная квартира · 50 м² · 10/17 этаж,"Есильский р-н, Туран 50/5",https://krisha.kz/a/show/1010149163,1010149163
97,krisha,Астана,Есильский р-н,2.0,43.0,,,230000,5348.8,middle,owner,2026-03-19,2-комнатная квартира · 43 м²,"Есильский р-н, Мангилик Ел 72",https://krisha.kz/a/show/1010050585,1010050585
98,krisha,Астана,Есильский р-н,1.0,40.0,4.0,12.0,180000,4500.0,middle,owner,2026-03-19,1-комнатная квартира · 40 м² · 4/12 этаж,"Есильский р-н, Кабанбай батыра",https://krisha.kz/a/show/699927763,699927763
99,krisha,Астана,Нура р-н,1.0,38.0,7.0,12.0,250000,6578.9,high,owner,2026-03-19,1-комнатная квартира · 38 м² · 7/12 этаж,"Нура р-н, Туран 34 а",https://krisha.kz/a/show/1006823451,1006823451
100,krisha,Астана,Алматы р-н,2.0,42.9,16.0,16.0,230000,5361.3,middle,owner,2026-03-19,2-комнатная квартира · 42.9 м² · 16/16 этаж,"Алматы р-н, Кошкарбаева 27",https://krisha.kz/a/show/1010416630,1010416630
101,krisha,Астана,Нура р-н,1.0,38.0,8.0,9.0,250000,6578.9,high,owner,2026-03-19,1-комнатная квартира · 38 м² · 8/9 этаж,"Нура р-н, Толе би",https://krisha.kz/a/show/1010586039,1010586039
102,krisha,Астана,Айтматова 77/6,2.0,46.0,8.0,12.0,250000,5434.8,high,owner,2026-03-19,2-комнатная квартира · 46 м² · 8/12 этаж,Айтматова 77/6,https://krisha.kz/a/show/1010585936,1010585936
103,krisha,Астана,Есильский р-н,2.0,62.0,12.0,14.0,300000,4838.7,high,owner,2026-03-19,2-комнатная квартира · 62 м² · 12/14 этаж,"Есильский р-н, Туркестан 10",https://krisha.kz/a/show/696808251,696808251
104,krisha,Астана,Есильский р-н,2.0,52.0,20.0,22.0,450000,8653.8,high,owner,2026-03-19,2-комнатная квартира · 52 м² · 20/22 этаж,"Есильский р-н, Турар Рыскулов 9",https://krisha.kz/a/show/1009032327,1009032327
105,krisha,Астана,Есильский р-н,1.0,40.0,4.0,10.0,250000,6250.0,high,owner,2026-03-19,1-комнатная квартира · 40 м² · 4/10 этаж,"Есильский р-н, Улы Дала 31",https://krisha.kz/a/show/676046528,676046528
106,krisha,Астана,Нура р-н,2.0,70.0,12.0,12.0,230000,3285.7,middle,agency,2026-03-19,2-комнатная квартира · 70 м² · 12/12 этаж,"Нура р-н, Коргалжынское шоссе 31",https://krisha.kz/a/show/1010421661,1010421661
107,krisha,Астана,Есильский р-н,2.0,52.0,3.0,9.0,260000,5000.0,high,owner,2026-03-19,2-комнатная квартира · 52 м² · 3/9 этаж,"Есильский р-н, Манглик Ел 58 — Expo",https://krisha.kz/a/show/1010439845,1010439845
108,krisha,Астана,Есильский р-н,1.0,40.0,2.0,10.0,210000,5250.0,middle,owner,2026-03-19,1-комнатная квартира · 40 м² · 2/10 этаж,"Есильский р-н, Бокейхана 25",https://krisha.kz/a/show/1009066360,1009066360
109,krisha,Астана,Сарыарка р-н,2.0,55.0,6.0,14.0,180000,3272.7,middle,owner,2026-03-19,2-комнатная квартира · 55 м² · 6/14 этаж,"Сарыарка р-н, Тлендиева 36 — Тлендиева-Коктал",https://krisha.kz/a/show/683911097,683911097
110,krisha,Астана,Алматы р-н,1.0,45.0,2.0,9.0,180000,4000.0,middle,owner,2026-03-19,1-комнатная квартира · 45 м² · 2/9 этаж,"Алматы р-н, Жумекен Нажимеденова 64",https://krisha.kz/a/show/1006292218,1006292218
111,krisha,Астана,Анет-баба 1,2.0,66.2,2.0,9.0,280000,4229.6,high,owner,2026-03-19,2-комнатная квартира · 66.2 м² · 2/9 этаж,Анет-баба 1,https://krisha.kz/a/show/1010057673,1010057673
